,origin,tweet_text,label
0,ARC,الكورونا الطريقة الصحيحة لاستخدام الكمامات لاحظت عامة الناس ماتعرفهاش   مالفرق ان لبسناها   الكمامة   من الجهة البيضاء او الجهة الزرقاء ؟ الجهة البيضاء تكون مسؤولة عن الفلترة او التعقيم . لذلك,False
1,MFH,كونا  إصابة أنثى نمر في حديقة حيوان بمدينة  نيويورك  بفيروس  كورونا . السؤال هل فايرس كاورونا يصيب الحيوانات ؟,True
2,ARC,في مشهد مهيب تقشعر له الأبدان. خرج العاملون في مستشفى شمال ويلز لتحية ووداع جثمان زميلهم الطبيب الليبي    الصادق الهوش الذي وافته المنية يوم أمس الاثنين، بعد إصابته بفيروس كورونا المستجد أثناء تأديته لواجبه في انقاذ أرواح المرضى بالمستشفى. اللهم اغفر له وارحمه,True
3,4IF,بعد كسر حاجز 10000 أصابه نشطة في قطر  ،  وزارة التعليم تخرق القوانين الدوليه وقانون الحريات وقانون منظمة الصحه العالميه وتجبر موظفينها بطريقة ملتويه على أخذ لقاح كوفيد 19 ! أين أنتم ياقانونيين ؟! كورونا,True
4,ARC,الواضح من الأرقام أن كورونا الجديد  COVID19  يعرض المدخنين وكبار السن بأمراض مزمنة  ضغط سكر  وأمراض القلب والتنفس للخطر بشكل أكبر ونسبة احتياج للعناية المركزة في المستشفى بشكل أكبر,True
5,4IF,بدأت إندونيسيا الثلاثاء اختبار لقاح صيني ضد فيروس كورونا المستجد طوره مختبر سينوفاك بيوتيك على 1600 متطوع. وسبق أن اختبر هذا اللقاح على 9 آلاف متطوع في البرازيل، وهي ثاني أكثر الدول تضررا  في العالم من الفيروس بعد الولايات المتحدة. فرانس برس  2 1,True
6,ARC,منقولة  هذا الريس يستحق الحب والاحترام  رئيس كوريا الشمالية كيم يونغ يؤكد أن فيروس كورونا لن ينتشر في بلاده لأنه سيتم إعدام اي شخص يصاب به     صاحب الحلول السريعة         محمد علاوي مرفوض,False
7,MFH,وزارة الصحة السعودية  ١١ ألف شخص غادروا الحجر الصحي بعد التأكد من خلوهم من فيروس كورونا المستجد,True
8,4IF,أستاذ المناعة وتطوير اللقاحات بمعهد إدوارد جينر أحمد سالمان: جرعة لقاح جونسون أند جونسون تعطي مناعة بنسبة 70  ضد كورونا. والاختبارات الحالية حول الاستمرارية العربية,True
9,ARC,زعيم كوريا الشمالية يقول :  ان فيروس كورونا لن ينتشر في بلاده لانه سوف يتم اعدام اي شخص يصاب بهذا المرض . صاحب الحلول السرعيه,False
10,ARC,التدخين وكورونا. تحذير جديد من منظمة الصحة العالمية     كورونا,True
11,ARC,شنو اللي قاعد يصير في الصين  هجوم اسراب من الغربان والبعوض على الصين بطريقة عجيبه وغريبه     يالله سترك يا رب العالمين  كورونا الصين,False
12,ARC,الصحة السعودية : لا خطورة من الطرود البريدية القادمة من الصين    السعودية وزارة الصحة  الصين كورونا حماك,True
13,ARC,صباحك صحة   غير صحيح    بناء على المعلومات المتوفرة حاليا لايوجد خطر من إنتقال فيروس كورونا الجديد عبر البضائع والطرود المستوردة من الصين  مع تمنياتنا للجميع بالصحة والعافية,True
14,4IF,رئيس الأكاديمية الطبية الدولية في موسكو أسعد مطر: روسيا لا تمانع في وصول لقاح كورونا إلى كل دول العالم. والإنتاج سيوزع في الداخل أولا العربية,True
15,MFH,عاجل  الصحة الجزائرية تعلن تسجيل 8 حالات وفاة و171 إصابة جديدة بفيروس كورونا بارتفاع 15 إصابة عن حصيلة أمس وتعافي 118 الجزائر,True
16,4IF,عــــــــــــاااجــــــــــــل  غدا  الاربعاء المصادف ٢٢ ٨ ١٢ يتم أطلاق اول لقاح روسي للعالم ضد فيروس كورونا   بوتين يعلن تسجيل أول لقاح ضد فيروس كورونا في العالم بوتين: اللقاح اجتاز كل الاختبارات بوتين: ابنتي ضمن من تم حقنهم باللقاح الجديد. يارب التراكمي يعلن الثوره,False
17,ARC,الاخبار الحلوه خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا ١  اذا كان موجود  في الرئتين  أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .  ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق,False
18,ARC,الوضوء و النقاب للوقاية من  كورونا,False
19,MFH,رحم الله الدكتور طارق حسين مخيمر مصري الجنسية من أطباء الأنف والأذن والحنجرة والذي كان في الصفوف الامامية في مستشفى جابر متأثرا بمضاعفات فيروس كورونا المستجد  ،  اللهم ارحمه واغفر له والهم اهله وذويه الصبر والسلوان,True
20,ARC,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا ١  اذا كان موجود  في الرئتين  أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .  ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق والله يحفظ الجميع,False
21,ARC,هذه المرة لا يا أخي فيروس كورونا انتقل من اكل الحيوانات المحرمة في الصين كالفأران والأفاعي وغيرها نطلب من الله السلامة قلت سابقا انه من صنع الانسان لكن ذلك طبيعي,False
22,ARC,كورونا     غدا الطريق لبدء تطبيق النظام العالمي الجديد لكي يتم زرع شريحة في جسم الانسان بحجت اللقاح لتحكم به ومعرفت بما يفكر كل انسان وتم زرع الشريحه في عشرة مليون انسان على مستوى العالم,False
23,ARC,قررت الهيئة العامة للطيران المدني القطرية منع المسافرين الحاملين للجنسية المصرية ضمن تدابير الحكومة هناك لاحتواء فيروس كورونا المستجد، بحسب بيان إعلامي للهيئة اليوم الأحد.  وبحسب البيان، ينطبق قرار الهيئة على جميع المسافرين، السابق الإشارة لهم، حتى في حالة حملهم لإقامة سارية,False
24,4IF,الخليجيون في مرمى دراسات كورونا السريرية الصينيه. بعد الامارات، الصين تبدأ تجربة لقاح شركة سينوفارم ضد كوفيد19 في البحرين. اكيد شايفين شي عندهم مو شايفينه في الكويت!,False
25,4IF,كورونا  يسقط قطر من جديد في فخ  إهانة  العمالة الأجنبية  صور   إرم نيوز الدوحة نطالب بحظر تجول في قطر,False
26,4IF,سويسرا تحجز ملايين الجرعات من لقاح ضد كورونا قيد التطوير للتفاصيل:   نتصدر المشهد COVID19,True
27,MFH,الفرق بينك وبين الي عندو كورونا انه هو عمل فحص و انت لأ. الدعم النفسي,False
28,MFH,وزيرة الهجرة تنفي وصول أي مركب من إيطاليا بصورة غير شرعية تنقل مصريين مصابين بفيروس كورونا,True
29,4IF,روسيا تحضر تشرنوبل جديده    يتعدى الموضوع التسمية وما تحمله من بروبغندا الى اعلان روسيا ان لديها طلب لمليار جرعة! تخيل مليار شخص يحصلون على لقاح لم ينشر عنه بحث علمي! وتخيل كم من المليار شخص لو التقط العدوى سيكون افضل من الحصول على هذا اللقاح,False
30,ARC,العراق اهون الدول بالنسبه لكورونا لان فيروس ينشط بالاجواء البارده بينما يموت بالاجواء الحاره  واتصور مراح يكون اله تداعيات مثل باقي الدول بسبب جو العراق الحار مع ذلك أخذو احتياطتكم الصحيه اهم شي النظافه    معا لعراق بلا كورونا,False
31,ARC,ايطاليا ت علن استسلامها ورئيس وزرائها يقول: انتهت حلول الأرض، الأمر متروك للسماء   فيارب السماء والارض ، لاتوآخذنا بما فعل السفهاء منا فنحن موقنين مؤمنين بقوتك وجبروتك في الأمس واليوم والغد .  سبحانك ربي ما أعظمك كورونا,False
32,ARC,الامارات تقريبا اول دولة عربية اعلنت تسجيل حالات كورونا وفيها جنسيات عربية واجنية كتير جدا ومع ذلك مشفناش ولا واحد اماراتى بيشتم فى والوافدين او بيطلب بتريحلهم  الحقيقة شعب زايد اثبت انه شعب محترم ومثقف,True
33,ARC,تنبأت رواية الكاتب الأمريكي دين كونتز المكتوبة في كتابه : عيون الظلام  The Eyes of Darkness والمنشورة عام 1981 بانتشار فيروس كورونا  التاجي عام 2020  فيروس كورونا المستجد   كورونا الكويت,False
34,4IF,السبلة العمانية   روسيا تطلق على اللقاح اسم  سبوتنيك  وهو اسم وكالة أنباء عالمية تمتلكها روسيا فيروس كورونا كوفيد 19,True
35,4IF,تطعيم ٧ مليار بشر لان 0.011  منهم ماتوا والكثير بأرقام وهمية جميل جدا,False
36,ARC,انباء وتقارير صحفيه ايطاليه تتحدث عن اصابة باولو ديبالا نجم يوفينتوس بفايروس كورونا,False
37,4IF,بوتين يعلن اول لقاح ل كورونا في العالم!,True
38,ARC,صدام حسين يتكلم عن فيروس كورونا    فيروس كورونا,False
39,4IF,ترامب يخوض انتخابات قاسية، وخارج لقاح كورونا يبدو بعيد المنال، يستميت لإنجاز تفاهم بشروطه مع ايران يضرب فيه تفاهم اوباما بايدن السابق، ويرى في العراق و لبنان وسيلة ضغط ناجعة لتحقيق ذلك وإنجاز ترسيم حدودي مع اسرائيل يضمن فيه المزيد من تأييد اللوبي اليهودي,False
40,MFH,عائلتي وأصدقائي الأعزاء،  إذا قررتم زيارتي الرجاء التقيد بهذه التعليمات:  ١  ما تجو.  شكرا      فيروس كورونا  كورونا لبنان  لا داعي للهلع  سنموت بعد قليل  لبنان ينتفض  لا ثقة  انتخابات نيابية مبكرة,False
