,tweet_text,label
0,#عاجل #خادم_الحرمين_الشريفين يصدر أمره بمنع التجول للحد من انتشار #فيروس_كورونا الجديد ابتداءً من الساعة الـ 7 مساءً وحتى الساعة الـ 6 صباحًا لمدة ( 21 ) يومًا من مساء يوم الأثنين 28 رجب 1441هـ، الموافق 23 مارس 2020م. #واس URL,True
4,#الصحة تعلن عن تسجيل (١١٩) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد١٩). URL,True
6,#الصحة تعلن عن تسجيل (٢٠٥) حالة إصابة جديدة بفيروس #كورونا الجديد(كوفيد١٩) وأول حالة وفاة لمقيم في المدينة المنورة. URL,True
9,صحيفة newsweek الأمريكية:هل تعرف من الذي اقترح النظافة الشخصية والحجر الصحي أثناء الوباء؟إنه محمد نبي الإسلام قبل 1400 عام. لم يكن أبدا خبيرًا في مسائل الأمراض الفتاكة إلا أن محمد كان لديه نصيحة رائعة لمنع ومكافحة تطور وباء مثل فيروس كورونا لقراءة المقال URL,True
10,58 من ال70 حالة المعلنة قبل قليل لمخالطين حضروا مناسبات اجتماعية ولقاءات عائلية.. ياجماعة الخير اقعدوا في بيوتكم واتقوا الله في أنفسكم وفي أسركم وأحبابكم وأصدقائكم ومجتمعكم .. يبدو لي أن قرار حظر التجول الإلزامي هو الحل,False
11,أغنية المقاومة الإيطالية “بيلا تشاو” في زمن كورونا من احد شرفات إيطاليا 🇮🇹❤️  URL,True
13,#الصحة تعلن عن تسجيل (٤٨) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد١٩) كالتالي: - من بين الحالات الجديدة حالات ارتبطت بالسفر ، و (٥) حالات لممارسين صحيين وإداريين في منشأة صحية خاصة بالرياض، وهم بدون أعراض صحية، وتم إجراء العزل، وإغلاق المنشأة احترازياً.,True
14,#خادم_الحرمين_الشريفين يصدر أمره بمنع التجول للحد من انتشار #فيروس_كورونا الجديد ابتداءً من الساعة الـ 7 مساءً وحتى الساعة الـ 6 صباحًا لمدة ( 21 ) يومًا من مساء يوم الأثنين 28 رجب 1441هـ، الموافق 23 مارس 2020م. URL #واس_عام URL,True
15,#كورونا_الجديد   أحبتي...  قررت أن أترك تويتر لبعض الوقت، لكن وجدت أنه من الأمانة أن أطلعكم على الصورة الحقيقية من مكان الحدث!  المنطقة التي أعمل بها هي أكبر منطقة منكوبة في فرنسا Grand Est  مستشفى كولمار  هو أكبر مستشفى مستقبل لحالات كورونا  تحول المستشفى بالكامل إلى منطقة عزل! URL,True
16,أهالي #طنجة في الشمال المغربي يرتقون أسطح بيوتهم يجأرون إلى الله بالتكبير والتهليل والدعاء عسى الله أن يرفع الوباء ويزيل الغمة   #كورونا  #المغرب URL,True
