,Tweet_Text,label
2,وزارة الصحة تكشف عن إرتفاع عدد الإصابات المؤكدة بفيروس كورونا في الجزائر اليوم  🔴 تسجيل 631 حالة إصابة جديدة بفيروس كورونا 🔴 إرتفاع عدد المصابين بفيروس كورونا إلى 60800  https://t.co/9nSabLXuNq,True
3,كيفية الوقاية من فيروس كورونا الجديد للوقاية من الإصابة بالفيروس المسبب للمرض يجب الحرص عليا إتباع الإجراءات الوقائية التالية: الاستخدام المنديل عند العطاس أو السعال ثم التخلص منه في سلة المهملات . غسل اليدين جيدا بالماء والصابون وفي حال عدم توفرهما يمكن إستخدام المعقم الخاص,True
14,🔴 ارتفاع عدد الوفيات بكورونا في الجزائر إلى  375 حالة والإصابات 2629  حالة  ▪️تسجيل 95 حالة إصابة جديدة بكورونا في الجزائر  ▪️تسجيل 8 وفيات جديدة بفيروس كورونا في الجزائر  ▪️ 1047 مريض تماثلوا للشفاء               #كورونا #كوفيد19 #فيروس_كورونا  https://t.co/K8VeOFCHsq,True
20,متى يجب عليك غسل اليدين؟  #الوقاية_من_كورونا  https://t.co/bI7oivLUb5,True
26,رسمياً.. #الرئاسة_الجزائرية تؤكد إصابة الرئيس #تبون بفيروس #كورونا   https://t.co/zMYmL2M0py,True
27,باسمي واسم و جماهير نادي #الاتحاد الرياضي يتقدمون بتعازيهم الحارة لإسرة نجم و اسطورة الكرة العراقية و العربية #احمد_راضي و الذي وافته المنية متأثراً بڤايروس كورونا   نسأل الله له الرحمة و الصبر و السلوان لعائلة المرحوم وللشعب العراقي الشقيق عامةً  إنا لله وإنا اليه راجعون  https://t.co/VaKi81D4G8,True
29,نصائح مهمة لتجنّب فيروس #كورونا  ابتعد عن الأشخاص المصابين ب #البرد او احد اعراضه غسل اليدين بشكل متكرر ارتداء #الأقنعة ارتداء #القفازات  تجنب استخدام الادوات الشخصية للغير,True
33,#عاجل الرئيس الجزائري عبد المجيد تبون مصاب بكورونا #عبد_المجيد_تبون #الجزائر #كورونا   https://t.co/OfDqRAf7Dr  https://t.co/3zZ8iojB3L,True
34,نعتذر من الشعب اللبناني ما جبنا الفيروس من فرنسا كرمال  etiquette 🤗والبريستج تبعكن #سنموت_بعد_قليل #كورونا #لا_داعي_للهلع,False
35,وتشدد منظمة الصحة العالمية في نصائحها لتفادي الإصابة بفيروس كورونا على غسل اليدين بالصابون والماء أو فرك اليدين بمطهر كحولي، وتجنب لمس العينيين والأنف والفم  https://t.co/QXlnjdNY15,True
41,نصائح جديدة من الصحة العالمية لتجنب العدوى بفيروس كورونا  أولا: اتباع النظافة العادية لليدين وغسلها بالماء والصابون باستمرار.    ثانيا: تغطية الفم والأنف عند السعال والعطاس.  ثالثا: تجنب الاتصال الوثيق مع أي شخص يظهر عليه أعراض مرض الجهاز التنفسي مثل السعال والعطس #كرونا_الكويت,True
45,بعد أن استُخدم لعلاج ترامب.. الولايات المتحدة تسمح باستخدام علاج ريجينيرون ضد #كوفيد_19  #جريدة_الوطن_القطرية  #سلامتك_هي_سلامتي  #الدوحة #واشنطن    https://t.co/kOfDRCWt7m,True
48,للوقاية من فيروس كورونا الجديد، يجب عليك غسل اليدين بالماء والصابون بإنتظام، وتغطية الفم والأنف عند العسال والعطس، وتجنب الاتصال المباشر مع أي شخص تظهر عليه أعراض أمراض الجهاز التنفسي  وعشان سلامتك #خليك_بالبيت  https://t.co/oRh2oWrXdc,True
54,إنا لله وإنا إليه راجعون الله يرحمه ويغفر له ويلهم أهله وذويه الصبر والسلوان  #كورونا ليس بالخصم السهل وعلينا عدم الاستهانة به أبدا  #عمان_تواجه_كورونا,True
65,- و إن فقدان الأخ وجع يقتص من عافية أخيه.💔  انتقل عمي إلى رحمة الله مساء الأمس متأثراً بإصابته بفايروس كورونا ، أسأل الله أن يتغمده بواسع رحمته و أن يلهم والدي الصبر و السلوان وأن يربط على قلبه .  https://t.co/pkjFvScbVk,True
70,إصابة وزيرة الهجرة والمهجرين بفيروس كورونا  https://t.co/U8HjFNr0ep,True
71,#عـاجل  🔴الرئاسة الجزائرية تعلن إصابة تبون بفيروس كورونا,True
74,#الجزائر #COVIDー19  #فيروس_كورونا - تسجيل حالة وفاة جديدة بالفيروس. - عدد الوفيات يرتفع إلى 4 وفيات. - تسجيل 11 إصابة جديدة بالفيروس ليصير مجمل الاصابات 48 حالة.,True
76,سبع تدابير لتجنب عدوى (كورونا) عند استلام  طلبات الطعام  #خلك_في_البيت  https://t.co/EiFCfOvoBR,True
78,شهيد الوطن   كان متطوع في جمعيه صباح الاحمد اصيب في #فيروس_كورونا توفى اليوم ودفنه غداً الخميس   رحم الله ضاري السحلول العازمي واسكنه فسيح جناته والهم اهله الصبر والسلوان إنا لله وانا اليه راجعون,True
79,تعلن #وزارة_الصحة عن وفاة مقيم مصاب بمرض كورونا #كوفيد١٩ ويبلغ من العمر ٦٣ عاماً ليبلغ عدد الوفيات من هذا المرض #بالسلطنة ثلاثين (٣٠) وفاة. وتتقدم #وزارة_الصحة إلى ذوي الفقيد بخالص العزاء والمواساة سائلة الله سبحانه أن يلهم أهله  وذويه الصبر والسلوان  https://t.co/yYicxsfeEq,True
80,🔴🔴الشروع في استخدام دواء جديد لفيروس كورونا في الجزائر  https://t.co/RVVJwufZBl  https://t.co/IA1ixtBEsi,True
92,#الممرض_خالد_الحسيني   انا لله وانا اليه راجعون   من أفضل من عرفت خلقا وعلما  نسأل الله أن يغفر له و يرحمه ويسكنه فسيح جناته ويلهم أهله الصبر والسلوان  ويجعل قبره روضة من رياض الجنة ويدخله الجنة بلا حساب ولا سابق عذاب #كورونا #مكة_المكرمة,True
93,عند الخروج من المنزل عليك اتباع سبل الوقاية الصحيحة: - اغسل يديك وعقمها باستمرار.  - ابتعد عن أماكن التجمعات.  - لا تقترب من أحد واجعل مسافة لا تقل عن مترين.  وتذكر دائمًا أن كبار السن، وأصحاب الأمراض المزمنة هم الأكثر عرضة للفيروس.. ساهم بحمايتهم. #كورونا #تعليم_ظهران_الجنوب,True
102,لبنان الغريق  لبنان الحريق  لبنان ينتفض  لبنان الدولار  لبنان الكمامة  لبنان كورونا  لبنان الجراد لبنان الفساد  لبنان المحسوبيات  لبنان في شي اكبر مني ومنك عم يصير  ولا داعي للهلع  #سنموت_بعد_قليل,False
105,اصابة أول أنثى نمر بفيروس كورونا -4 سنوات- بحديقة حيوان برونكس في نيويورك، اذ عانت من سعال جاف كما يبدو أنها نقلت العدوى لأربعة نمور وأسد تواجدوا معها بالحديقة نفسها!  #كورونا #حيوانات #حياتك #اهتماماتك #نيويورك #newyork #tiger  https://t.co/G55LSz2u0A,True
106,"#احصائيات فيروس #كورونا المستجد: #مالي: تسجيل 10 وفيات وارتفاع عدد الإصابات المؤكدة إلى 123.  #بريطانيا: تسجيل 761 وفاة، ليرتفع عدد الوفيات إلى 12,868 شخصًا.  #الجزائر: تسجيل 10 وفيات، و 90 إصابة مؤكدة ليرتفع عدد الإصابات الإجمالي إلى 2160.",True
111,خالص العزاء وصادق المواساة لعائلة الخليفة #المطيري بوفاة ابنهم العميد ركن المهندس نافع الخليفة المطيري بعد إصابته بفيروس #كورونا، ونسأل الله جلت قدرته ان يرحم الفقيد برحمته ويلهم ذويه الصبر والسلوان. @M6eer_Q8 #الدويش #البراك #الديحاني #الشلاحي #الركيبي #الكويت #كويتيين #الوفيات,True
118,كيفية الوقاية من عدوى #كورونا ؟ يجب غسل اليدين بالماء والصابون بانتظام قبل وبعد تناول الأكل وعند ملامسة الأسطح الخارجية  #وزارة_الصحة #فايروس_جديد  https://t.co/97SqHcbiXh,True
119,كورونا يصيب نمراً بحديقة حيوان في نيويورك: (MENAFN - Khaberni) خبرني - قال متحدث باسم حديقة حيوان برونكس في مدينة نيويورك الأميركية إن فحوصاً أثبتت إصابة أنثى نمر في الحديقة بالمرض التنفسي ا...  https://t.co/lpL5pNnjI4  https://t.co/Kkrt7OUUbk,True
121,إصابة الرئيس الجزائري عبد المجيد تبون بفيروس كورونا  https://t.co/W20uhKsCPq عبر @وكالة المعلومة,True
122,وزير الصحة الجزائرى: نولى أهمية بالغة للحصول على لقاح كورونا: (MENAFN - Youm7) أكد عبد الرحمن بن بوزيد وزير الصحة الجزائرى، اليوم الثلاثاء، اهتمام بلاده الجزائر البالغ لاقتناء اللقاح المضاد لفيروس كورونا.  https://t.co/rEOgZgWSYW,True
123,#كورونا.. توسيع إجراءات الحجر الجزئي في #الجزائر إلى تسع ولايات أخرى وهي.. تيزي وزو، بو مرداس،وهران، تيبازة، باتنة، الوادي، سطيف، قسنطينة والمدية.  https://t.co/JND03CYuye,True
128,يخطف منا فيروس كورونا باحثة من المتميزين وطنياً وعالمياً في علم الأوبئة،   البروفيسور بجامعة سطيف، السيدة زبيدة زايدي، رحمها الله. تعازيَ الخالصة إلى عائلة الفقيدة، وإلى كل أفراد السلك الطبي، وأدعو الله أن يتغمدها برحمته الواسعة، ويسكنها فسيح جناته، ويلهم أهلها الصبر والسلوان.,True
130,"شركة #موديرنا تعلن أن لقاحها ضد #كوفيد19 فعال بنسبة 94,5%  #جريدة_الراية #سلامتك_هي_سلامتي #كورونا    https://t.co/DNR56QdbuG",True
132,الرئيس الجزائري “عبد المجيد تبون” يحذر من تفشي فيروس “كورونا” في الجزائر  https://t.co/yIjLbP7UC1الرئيس-الجزائري-عبد-المجيد-تبون-يحذر/,True
133,#ايران_تصدر_كورونا_للخليج لاتنتظرون إيران ترد ولا الخونه اللي خالفوا النظام يعلمون خذوا برنت من الكويت والبحرين والإمارات وعمان عن كل سعودي سافر من أراضيهم لإيران ، هذه خطة الكلبه إيران عشان ينشرون الفايروس عندنا الله يجعل تدبيرهم في تدميرهم ويكفينا شرهم,False
135,مباشرة من البيت الابيض Whitehouse# لم ينتبهوا للكاميرا  مقطع مسرب لفريق عمل ترامب يتكلمون عن فيروس كورونا بأنه خدعة وبأن اللقاح موجود وانهم ملقحون ضده فلا داعي للبس الكمامات عندما لا يكون البث   ويخبر احدهم ان الوفيات مزورة وان الفيروس ضعيف جدا  https://t.co/xMDfzUkBv2,False
140,#نصايح_لتفادي_كورونا تنظيف اليدين بالماء والصابون أو مطهر سيقتل منها الفيروسات، وتغطية الفم والأنف بثني المرفق أو بمنديل عند السعال أو العطس ثم إلقائه بسلة مهملات مغلقة مع تنظيف اليدين سيمنع انتشار الفيروس والعدوى أما تغطية الفم باليد ستنقل الجراثيم للغير  https://t.co/rpMEb1qnDl,True
143,"بقلوب مؤمنة بقضاء الله و قدره أنعى أخي و زميلي المغفور له بإذن الله عبد الغفور ""أبو هاني"" الذي وافته المنية هذا الصباح متأثرا بعدوى فايروس كورونا المستجد. للفقيد الرحمة و المغفرة. و لنا و لأهله و اصدقاءه و زملاءه الصبر و السلوان. انا لله و إنا إليه راجعون.  https://t.co/yafwNJOaHR",True
144,"🔴 #خبر ""نادية""أنثى نمر في حديقة حيوان ""برونكس"" بمدينة #نيويورك ، أول نمر تثبت الاختبارات إصابته #بفيروس_كورونا المستجد نادية البالغة من العمر 4 سنوات،ثبيت اصابتها بعد أن ظهرت عليها،مع 5 نمور وأسود أخرى في حديقة الحيوانات، أعراض مشكلات بالجهاز التنفسي #مكشات #كلنا_مسؤول #السعودية  https://t.co/NcnJDC6Kxb",True
146,حصيلة كورونا ليوم الخميس 11جوان 2020 في الجزائر  🔴 #وزارة_الصحة: 105 إصابة جديدة بكورونا في الجزائر 🔴ارتفاع إجمالي إصابات كورونا إلى: 10589 🔴 تسجيل 9 وفيات جديدة بكورونا في الجزائر 🔴ارتفاع إجمالي وفيات كورونا إلى: 741 🔴ارتفاع إجمالي حالات الشفاء إلى: 7254 #Aures_Post,True
149,🔴وزارة الصحة: تسجيل 614 إصابة جديدة بفيروس كورونا 🔴 وزارة الصحة: تسجيل 12حالة وفاة جديدة بكورونا في الجزائر  https://t.co/9KoPi3iKDC,True
163,نمر في حديقة حيوان برونكس بمدينة نيويورك مصاب بفيروس كورونا COVID-19  https://t.co/KoKUYT68gM,True
171,⭕️#كورونا   إصابة وكيل وزير الهجرة والمهجرين العراقي جاسم العطية وعائلته بفيروس كورونا .,True
173,"#يارب_احفظ_مصر  منظمة الصحة العالمية: الاعتقاد بأن فيروس كورونا سيختفي بحلول الصيف ""أمل ذائف""",True
175,منظمة الصحة العالمية 👇 من الخطا الإعتقاد بأن فيروس كورونا سيختفي بالصيف   #الشعب_يرفض_الغاء_قرار_الفحص  #تعليق_الدراسة,True
177,منظمة الصحه العالميه : من الخطا الاعتقاد ان فيروس كورونا سيختفى خلال فصل الصيف كما لو كان مجرد انفلونزا @ م ك م,True
182,إرتفاع حالات الشفاء من فيروس كورونا في الجزائر إلى 460 حالة. الحمد لله 🙏  https://t.co/PEeBIo0qC1,True
186,وزارة الصحة تفجع بوفاة #الممرض_خالد_الحسيني الذي توفي إثر اصابته بفايروس كورونا  ونسأل الله أن يغفر له و يرحمه ويسكنه فسيح جناته ويلهم اهله وذوية الصبر والسلوان  وأسأل الله أن  يكون نال الشهادة  مايفطر القلب نظام الدفن لكورونا حيث يمنع مشاهدته او لمسه حرصاً على سلامة أسرته  https://t.co/L6N8oZBrxL,True
192,منظمة الصحة العالمية: من الخطأ الاعتقاد بأن كورونا سيختفي بالصيف  قالت منظمة الصحة العالمية، إن على جميع الدول أن تضع احتواء تفشي فيروس كورونا على رأس أولوياتها، معتبرة أنه من الخطأ الاعتقاد بأن الفيروس سيختفي خلال فصل الصيف.  التفاصيل هنا   https://t.co/6z3w16w2zL  https://t.co/EnBbHKqBk4,True
194,ببالغ الصبروالإحتساب ننعي زميلنا فقيد المختبرات وبنك الدم بمستشفى الأمير مشاري ببلجرشي (عبدالله درويش) الذي وافته المنية بعد معاناته مع إصابته بفايروس #كورونا #Covid_19  إنا لله وإنا إليه راجعون، اللهم أرحمه وأغفر له وأسكنه الفردوس وألهم أهله وذويه الصبر والسلوان وأخلف عليهم بخير,True
195,🔴الرئيس عبد المجيد تبون يترأس اجتماعا للمجلس الأعلى للأمن 🔴الاجتماع خصص لدراسة ومتابعة تطور فيروس كورونا في البلاد 🔴الرئاسة: سيصدر مساء اليوم بيان حول الإجراءات الإضافية المتخذة لمواجهة كورونا,True
200,"#الكويت_885 اصابه اليوم بالكورونا رساله الى امير الكويت عندي وصفه طبيعيه تخلص الكويت والعالم من الكورونا وشرها تعال لنعقد صفقه تنجيكم وتخلصكم من الوبا تلفون 972522878900 , هيا يا امير تعال لتنقذ العالم .",False
201,حسب الأخبار عم بقولوا إنو بلشوا يلاقوا حل لمشكلة الكورونا، يعني يا شباب حضروا حالكم للخازوق الجديد بي مطلع نيسان! 😅 #لا_داعي_للهلع #سنموت_بعد_قليل #خليك_بالبيت #اللهم_عجل_لنا_النيزك,False
210,وزير الصحة عبد الرحمان بن بوزيد :  ♦️ الجزائر و معهد باستور لها علاقة جيدة مع المخابر التي تشتغل على إنتاج  لقاح #كورونا   ♦️ هناك مفاوضات مع 5 مخابر التي تشتغل على اللقاح   ♦️ الجزائر مستعدة على ان تكون من اول الدول التي تجلب لقاح فيروس كورونا.  #كورونا #كوفيد #الجزائر  https://t.co/ZGq25wnOqA,True
217,"وزارة الصحة تطلب من النواب المصابين بـ""كورونا"" عدم حضور اجتماع اللجان البرلمانية.. إلا بعد التأكد من خلوهم من الفيروس  https://t.co/8ZbcMGEXcF",True
219,الصحة البحرينية: خروج 12 شخصا من الحجر الصحي بعد خلوهم من كورونا   https://t.co/FIn40Ncjps  #كورونا  https://t.co/hKU6Vv9qHt,True
230,رحم الله الدكتور #طارق_حسين الذي توفى اليوم بسبب فايروس كورونا نسأل الله ان يغفر له ويتجاوز عنه ويلهم ذوية الصبر والسلوان .,True
231,#الرئيس_البرازيلي يصدم شعبه بتعليقات حول #كورونا: سنموت جميعا ‼️  https://t.co/L2q5WD8Sap,True
232,أفضل طريقة لحماية نفسك وأهلك من فيروس كورونا #TheGlocal | #خليك_في_البيت  https://t.co/O8SFxuFOhP,True
