,label,tweetText
0,False,"قبل ظهور وباء #فيروس_كورونا، تنبأت بعض الأعمال الفنية بظهور أوبئة مشابهة ووضع مصير العالم في خطر، أشهرها فيلم  ""Contagion"" عام 2011"
1,False,فيديو| #أمريكا تتنبأ بـ«#كورونا» منذ 9 سنوات والدليل «كونتيجن»
2,False,تحدث عن الصين والخفافيش.. فيلم «كونتيجن» تنبأ بـ«#كورونا» قبل 9 سنوات (فيديو)
3,False,هذا الفيلم تنبأ بفيروس كورونا الجديد: والنهاية لم تكن سعيدة  أشار عشاق فيلم Contagion أو العدوى، الذي صدر عام 2011، إلى التشابه بين الفيلم وفيروس كورونا الجديد. وفي تعليقاتهم على تويتر، كتبوا: كل شيء يبدو متشابها بشكل مرعب، الخفافيش كانت المصدر. الفيلم يحدث في العالم الحقيقي الآن
4,False,فيلم «عدوى ــ Contagion»، انتج عام 2011، وتنبأ بانتشار فيروس #Covid_19 يحكى الفيلم ما يحدث فى العالم بسبب فيروس #كورونا Contagion يوثق انتشار مرض معدٍ ومميت ينتقل عبر الخفافيش والخنازير ويهدد البشرية ويحتاج العالم، بعد انتشاره بالصين أيضا.👇   #فيروس_كورونا
5,False,فيلم امريكي يتنبأ بمرض #كورنا من عشر سنوات بالاضافه للبلد #الصين_كورونا ومصدر المرض الخفافيش.. هي هذه صدفه ام حرب مدبره
6,False,فيلم #Contagion إنتاج 2011 فيلم يتنبأ بفيروس #كورونا  نفس الأعراض  نفس مصدر الفيروس موت الملايين
7,False,"فيلم ""العدوى"" #Contagion  عرض سنة 2011 هذا الفيلم تنبأ بمرض #كورونا قبل 9سنوات"
8,True,"الفيديو المتداول بعنوان «الصين بدأت بقتل المصابين بفيروس #كورونا» غير صحيح, والحقيقة أن الفيديو مفبرك وذلك عبر دمج  ثلاثة مقاطع مختلفة وإستخدام فيديو آخر للشرطة وهي تتعامل مع كلب مسعور"
9,True,"الفيديو المتداول بعنوان «الصين بدأت بقتل المصابين بفيروس #كورونا» غير صحيح, والحقيقة أن الفيديو مفبرك وذلك عبر دمج ثلاثة مقاطع مختلفة وإستخدام فيديو آخر للشرطة وهي تتعامل مع كلب مسعور"
