,origin,tweet_text,tweet_text_NER,tweet_text_NER_STEM,label
2662,4IF,مناعة لمدة عامين.. تفاصيل أول لقاح روسي ضد كورونا,مناعة لمدة عامين.. تفاصيل أول لقاح روسي ضد كورونا,مناعة مدة عام . . تفصيل أول لقاح روسي ضد كورونا,False
427,ARC,سبب انتشار فايروس كورونا في الصين هوا اكلهم للحيوانات البشعه الكلاب والقطط والخفافيش والفيران والافاعي والخنازير والكثير من الحيوانات نسال الله العلي العظيم أن يكفينا شر هذا الفايروس,سبب انتشار  LOC  في  LOC  هوا اكلهم للحيوانات البشعه الكلاب والقطط والخفافيش والفيران والافاعي والخنازير والكثير من الحيوانات نسال الله العلي العظيم أن يكفينا شر هذا الفايروس,سبب انتشار LOC في LOC هو اكل حيوان بشعه كلب قط خفافيش فأر افاعي خنزير كثير من حيوان نسال الله علي عظيم أن كفى شر هذا فايروس,False
1555,4IF,في ظل السباق العالمي .. شركة_أدوية صينية: لقاح فيروس كورونا سيكون جاهزا بنهاية العام,في ظل السباق العالمي ..  ORG : لقاح فيروس كورونا سيكون جاهزا بنهاية العام,في ظل سباق عالمي . . ORG : لقاح فيروس كورونا كان جاهز نهاية عام,False
2617,MFH,يجب ممارسة العادات الصحية الأساسية للوقاية من الإصابة بأي عدوى ومنع انتشارها: 1.الاهتمام بالممارسات الصحية 2.تكرار غسل اليدين بشكل جيد 3.التنظيف والتعقيم المستمر 4.تغطية الفم عند العطاس والسعال كوفيد_19 كورونا فيروس_كورونا اجلس_بالبيت تعليق_الدراسة_في_عمان COVID 19,يجب ممارسة العادات الصحية الأساسية للوقاية من الإصابة بأي عدوى ومنع انتشارها: 1.الاهتمام بالممارسات الصحية 2.تكرار غسل اليدين بشكل جيد 3.التنظيف والتعقيم المستمر 4.تغطية الفم عند العطاس والسعال كوفيد_19 كورونا فيروس_كورونا اجلس_بالبيت تعليق_الدراسة_في_عمان COVID 19,وجب ممارسة عادة صحي أساسي وقاية من إصابة أي عدوى منع انتشار : 1 . اهتمام ممارسة صحي 2 . تكرار غسل يد شكل جيد 3 . تنظيف تعقيم مستمر 4 . تغطية فم عند عطاس سعلة كوفيد _ 19 كورونا فيروس _ كورونا اجلس _ بيت تعليق _ دراسة _ في _ عمان COVID 19,True
3901,MFH,سنموت_بعد_قليل و لا_داعي_للهلع.. yalla يمكن، نحنا جيل الحرب، إذا متنا كورونا_للوطن منرتاح ومنريح وبيخلق لبنان_الجديد,سنموت_بعد_قليل و لا_داعي_للهلع..  MISC  يمكن، نحنا جيل الحرب، إذا متنا  PER  منرتاح ومنريح وبيخلق  LOC _الجديد,مات _ بعد _ قليل و لا _ داعي _ هلع . . MISC أمكن ، نحن جيل حرب ، إذا مات PER منرتاح منريح خلق LOC _ جديد,False
1857,ARC,توقعات بإلغاء الدوري الانجليزي و عدم إكمال الموسم بسبب انتشار فيروس كورونا انقر الفرق تضررا من هذا القرار هو نادي ليفربول المتصدر حاليا للدوري و الذي توج به آخر مرة عام 1990 .,توقعات بإلغاء  MISC  و عدم إكمال الموسم بسبب انتشار فيروس كورونا انقر الفرق تضررا من هذا القرار هو  ORG  المتصدر حاليا للدوري و الذي توج به آخر مرة عام 1990 .,توقع إلغاء MISC و عدم إكمال موسم سبب انتشار فيروس كورونا انقر فرقة تضرر من هذا قرار هو ORG متصدر حالي دوري و الذي توج ب آخر مرة عام 1990 .,False
3164,ARC,كورونا.. إلتقطت هذه الصورة صباح امس الجمعة لطائرة الخطوط الاماراتية مقلعه من دبي إلى بكين ( الصين ) وعلى متنها راكب واحد فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه.. مايهزك ريح يا ابويمن مصائب قوما عند قوما فؤائد,كورونا.. إلتقطت هذه الصورة صباح امس الجمعة لطائرة الخطوط الاماراتية مقلعه من  LOC  إلى  LOC  (  LOC  ) وعلى متنها راكب واحد فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه.. مايهزك ريح يا ابويمن مصائب قوما عند قوما فؤائد,كورونا . . إلتقط هذا صورة صباح أمس جمعة طائرة خط إماراتي مقلع من LOC إلى LOC ( LOC ) على متن راكب واحد فقط حمل جنسية يمنيه رايح اشترى ضاع عرط . . مايهزك ريح يا ابويمن مصيبة قوم عند قوم فؤائد,False
2311,ARC,الحجر الجزئي من 3 زوالا إلى 7صباحا في ولايات الجزائر، وهران، عين الدفلى، بجاية، سطيف، تيزي وزو، تيبازة، تلمسان، المدية ريح_في_داركم فيروس_كورونا ALGER COVID2019 البليدة_الوريدة_عمرها_ماتذبال الجزاير بيتك_حياتك COVID19dz,الحجر الجزئي من 3 زوالا إلى 7صباحا في ولايات  LOC ،  LOC ،  LOC ،  LOC ،  LOC ،  LOC ،  LOC ،  LOC ،  LOC  ريح_في_داركم فيروس_كورونا ALGER COVID2019 البليدة LOC _عمرها PER  بيتك_حياتك COVID19dz,حجر جزئي من 3 زوال إلى 7 صباح في ولاية LOC ، LOC ، LOC ، LOC ، LOC ، LOC ، LOC ، LOC ، LOC ريح _ في _ دار فيروس _ كورونا ALGER COVID2019 بليد LOC _ عمر PER بيت _ حياة COVID19dz,True
3444,MFH,الصحة تعلن عن تعافي ثلاث حالات من المصابين بفيروس كورونا الجديد (كوفيد19) في المملكة حيث تم إجراء فحص أثبت خلوهم من الفيروس ويتمتعون حاليا بصحة جيدة وخرجوا جمعيهم من المستشفى. وبذلك يصبح عدد حالات التعافي إلى (6) حالات. السيح الدلم الخرج السعودية هنا_الخرج,الصحة تعلن عن تعافي ثلاث حالات من المصابين بفيروس كورونا الجديد (كوفيد19) في المملكة حيث تم إجراء فحص أثبت خلوهم من الفيروس ويتمتعون حاليا بصحة جيدة وخرجوا جمعيهم من المستشفى. وبذلك يصبح عدد حالات التعافي إلى (6) حالات. السيح الدلم الخرج  LOC  هنا_الخرج,صحة أعلن عن تعافي ثلاث حالة من مصاب فيروس كورونا جديد ( كوفيد 19 ) في مملكة حيث تم إجراء فحص أثبت خلو من فيروس تمتع حالي صحة جيد خرج جمعي من مستشفى . ذلك أصبح عدد حالة تعافي إلى ( 6 ) حالة . سيح دلم خرج LOC هنا _ خرج,True
1677,4IF,الجيش الايطالي ينقل جثث ضحايا كورونا بدون وداع, ORG  ينقل جثث ضحايا كورونا بدون وداع,ORG نقل جثة ضحية كورونا دون وداع,True
4200,ARC,باولو ديبالا يعلن إصابته بكورونا كورونا, PER  يعلن إصابته  PER ,PER أعلن إصابة PER,False
3121,4IF,ديلي ميل البريطانية: البروفيسور الروسي الكسندر تشوتشالين كبير اطباء الجهاز التنفسي في روسيا؛يعلن استقالته من لجنة الاخلاقيات بوزارة الصحة، على خلفية تسريع انتاج لقاح كورونا وما يترتب على ذلك من خطورة على صحة الأنسان ., PER  البريطانية: البروفيسور الروسي  PER  كبير اطباء الجهاز التنفسي في  LOC ؛يعلن استقالته من لجنة الاخلاقيات بوزارة الصحة، على خلفية تسريع انتاج لقاح كورونا وما يترتب على ذلك من خطورة على صحة الأنسان .,PER بريطاني : بروفسور روسي PER كبير أطباء جهاز تنفسي في LOC ؛ أعلن استقالة من لجنة اخلاقي وزارة صحة ، على خلفية تسريع إنتاج لقاح كورونا ما ترتب على ذلك من خطورة على صحة أنس .,False
2018,MFH,عاجل العلاج النهائي لفيروس كورونا هتقعد 5 ايام تشرب مية وعسل ولمون في اليوم السادس تشرب مية ولمون بس الفيروس هيطلع يسالك فين العسل هنقوله قاعد بيقرا البوست دلوقتي يسعد مساكم هه,عاجل العلاج النهائي لفيروس كورونا هتقعد 5 ايام تشرب مية وعسل ولمون في اليوم السادس تشرب مية ولمون بس الفيروس هيطلع يسالك فين العسل هنقوله قاعد بيقرا البوست دلوقتي يسعد مساكم هه,عاجل علاج نهائي فيروس كورونا هتقعد 5 أيام شرب مي عسل لم في يوم سادس شرب مي لم بس فيروس هيطلع يسالك فين عسل هنقوله قاعد أقر بوست دلوقتي أسعد مس هه,False
4288,ARC,لمحاربة فيروس_كورونا_المستجد عليكم باستعمال الثوم قطعة صغيرة تاخذ بالماء يوميا مثلما ناخذ حبة بنادول الثوم مضاد_فيروسي و مضاد حيوي بنفس الوقت يكفي انه تم ذكره ب القرآن retwit من فضلكم للافادة و انقاذ الارواح و الله هو الشافي .,لمحاربة فيروس_كورونا_المستجد عليكم باستعمال الثوم قطعة صغيرة تاخذ بالماء يوميا مثلما ناخذ حبة بنادول الثوم مضاد_فيروسي و مضاد حيوي بنفس الوقت يكفي انه تم ذكره ب القرآن retwit من فضلكم للافادة و انقاذ الارواح و الله هو الشافي .,محاربة فيروس _ كورونا _ مستجد على استعمال ثوم قطعة صغير تأخذ ماء يومي مثلما ناخذ حب نادول ثوم مضاد _ فيروسي و مضاد حيوي نفس وقت كفى ان تم ذكر ب قرآن retwit من فضل إفادة و إنقاذ روح و الله هو شافي .,False
3318,MFH,الجزائر تسجيل 1009 إصابة جديدة بفيروس كورونا و 17 حالة وفاة و636 حالة شفاء خلال 24 ساعة الأخيرة Info19, LOC  تسجيل 1009 إصابة جديدة  MISC  و 17 حالة وفاة و636 حالة شفاء خلال 24 ساعة الأخيرة Info19,LOC تسجيل 1009 إصابة جديد MISC و 17 حالة وفاة و 636 حالة شفاء خلال 24 ساعة أخير Info19,True
3808,4IF,مبتكر اللقاح ضد فيروس كورونا -إلناز إماتدينوف عمره 30 سنة نال درجة الدكتوراه في علوم الفيروسات والتحق عقب ذلك بمركز مكافحة الفيروسات والتكنولوجيا الحيوية بالقرب من نوفوسيبيرسك، حيث يعمل منذ حوالي ست سنوات وعندنا في البلاد عمره45 سنة وجل كتاباتة عن حرية المرأة ودع المخلوق للخالق,مبتكر اللقاح ضد فيروس كورونا - LOC  عمره 30 سنة نال درجة الدكتوراه في علوم الفيروسات والتحق عقب ذلك بمركز مكافحة الفيروسات والتكنولوجيا الحيوية بالقرب من  LOC ، حيث يعمل منذ حوالي ست سنوات وعندنا في البلاد عمره45 سنة وجل كتاباتة عن حرية المرأة ودع المخلوق للخالق,مبتكر لقاح ضد فيروس كورونا - LOC عمر 30 سنة نال درجة دكتوراة في علم فيروس التحق عقب ذلك مركز مكافحة فيروس تكنولوجيا حيوية قرب من LOC ، حيث عمل منذ حوالي ست سنة عند في بلد عمر 45 سنة جل كتابة عن حرية مرأة ودع مخلوق خالق,False
2636,MFH,فيروس كورونا المستجد.. الجزائر: 94 إصابة جديدة بفيروس كورونا، ليرتفع العدد الإجمالي إلى 1666 حالة، ووفاة 235 حالة. الأردن: 14 إصابة جديدة بفيروس كورونا، ليرتفع العدد الإجمالي إلى 372 حالة. بريطانيا: 881 حالة وفاة جديدة بفيروس كورونا.,فيروس  LOC ..  LOC : 94 إصابة جديدة  MISC ، ليرتفع العدد الإجمالي إلى 1666 حالة، ووفاة 235 حالة.  LOC : 14 إصابة جديدة  MISC ، ليرتفع العدد الإجمالي إلى 372 حالة.  LOC : 881 حالة وفاة جديدة  MISC .,فيروس LOC . . LOC : 94 إصابة جديد MISC ، ارتفع عدد إجمالي إلى 1666 حالة ، وفاة 235 حالة . LOC : 14 إصابة جديد MISC ، ارتفع عدد إجمالي إلى 372 حالة . LOC : 881 حالة وفاة جديد MISC .,True
1363,4IF,ما_خفي_أعظم - تجارة_الوباء : شركة جلعاد ادعت ابتكار لقاح ضد فيروس_كورونا مما ساهم في ارتفاع اسهمها لكن تاريخ الشركة مع لقاح Tamiflu يثبت أن هدفها يبقى ربحي قبل البحث في جدوى اللقاح وخطورته على صحة الفرد,ما_خفي_أعظم - تجارة_الوباء : شركة  LOC  ادعت ابتكار لقاح ضد فيروس_كورونا مما ساهم في ارتفاع اسهمها لكن تاريخ الشركة مع لقاح  MISC  يثبت أن هدفها يبقى ربحي قبل البحث في جدوى اللقاح وخطورته على صحة الفرد,ما _ خفي _ أعظم - تجارة _ وباء : شركة LOC ادعى ابتكار لقاح ضد فيروس _ كورونا من ساهم في ارتفاع سهم لكن تاريخ شركة مع لقاح MISC ثبت أن هدف بقي ربحي قبل بحث في جداء لقاح خطورة على صحة فرد,False
3078,MFH,روسيا_بوتين ارجو الله ان تصلك صرختي بانه عندي وصفه طبيعيه خفيفه جيده جدا تنقذ روسيا من الكورونا ومن افاتها ، وصفه ناجحه 100-100 ، انا جاهز ان اسلمها لكبار علماء الطب ليتحققوا مما اقول جاهز ان اشرحها لهم واثبت لهم نجاحها ونجاعتها 972522878900 . ها هي الكورونا تجتاح العالم ثانيه ., LOC _بوتين ارجو الله ان تصلك صرختي بانه عندي وصفه طبيعيه خفيفه جيده جدا تنقذ  LOC  من الكورونا ومن افاتها ، وصفه ناجحه 100-100 ، انا جاهز ان اسلمها لكبار علماء الطب ليتحققوا مما اقول جاهز ان اشرحها لهم واثبت لهم نجاحها ونجاعتها 972522878900 . ها هي الكورونا تجتاح العالم ثانيه .,LOC _ بوتين أرجو الله ان وصل صرخة أن عند وصف طبيعي خفيف جيد جد أنقذ LOC من كورونا من اف ، وصف ناجح 100-100 ، أنا جاهز ان اسلم كبير عالم طب تحقق من أقول جاهز ان اشرح ل اثبت ل نجاح نجاعة 972522878900 . ها هي كورونا اجتاح عالم ثاني .,False
2983,MFH,"""جراكتونا"" هيدي هي التسمية العلمية للوضع بي لبنان سنموت_بعد_قليل لا_داعي_للهلع كورونا_لبنان",""" LOC "" هيدي هي التسمية العلمية للوضع بي  LOC  سنموت_بعد_قليل لا_داعي_للهلع كورونا_ LOC ",""" LOC "" هيدي هي تسمية علمي وضع بي LOC مات _ بعد _ قليل لا _ داعي _ هلع كورونا _ LOC",False
3998,ARC,اعتقال_فتاه_بسبب_كورونا فعاليات_الحجر_المنزلي كورونا خليك_في_البيت فيروس_كورونا خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا 100% اذا كان موجود في الرئتين أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .. ارجو نشر هذه الرسالة,اعتقال_فتاه_بسبب_كورونا فعاليات_الحجر_المنزلي كورونا خليك_في_البيت فيروس_كورونا خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا 100% اذا كان موجود في الرئتين أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .. ارجو نشر هذه الرسالة,اعتقال _ فتى _ سبب _ كورونا فعالية _ حجر _ منزلي كورونا خليك _ في _ بيت فيروس _ كورونا خبير صيني جزم أكد ان استنشاق بخار ماء قتل فيروس كورونا 100% اذ كان موجود في رئة أو حنجر أو أنف فيروس لا احتمل درجة حرارة بخار ماء دافئ . . أرجو نشر هذا رسالة,False
2180,MFH,"> حكيمات يتفادين الفيروسات والاوبئه القذره< ""لا خوف على المنتقبات لأنهن الأقل عرضة لفيروس كورونا، حيث أنهن لا يتبادلن القبل للتحية، أو يصافحن بالأيدي أو الأحضان، وفوق ذلك كل جسدهن مستور، وهي النصائح التي يوصي المتخصصون لتفادي العدوى"".","> حكيمات يتفادين الفيروسات والاوبئه القذره< ""لا خوف على المنتقبات لأنهن الأقل عرضة لفيروس كورونا، حيث أنهن لا يتبادلن القبل للتحية، أو يصافحن بالأيدي أو الأحضان، وفوق ذلك كل جسدهن مستور، وهي النصائح التي يوصي المتخصصون لتفادي العدوى"".","> حكيم يتفادين فيروس اوبئه قذر < "" لا خوف على منتقب أن أقل عرضة فيروس كورونا ، حيث أن لا يتبادلن قبل تحية ، أو يصافحن يد أو حضن ، فوق ذلك كل جسد مستور ، هي نصيحة الذي أوصى متخصص تفادي عدوى "" .",False
2506,4IF,5580 متطوعا يتلقون لقاح كورونا في الإمارات نتصدر_المشهد نلتزم_لننتصر CommitToWin,5580 متطوعا يتلقون لقاح كورونا في الإمارات نتصدر_المشهد نلتزم_لننتصر CommitToWin,5580 متطوع يتلقون لقاح كورونا في إمارة نتصدر _ مشهد التزم _ انتصر CommitToWin,True
1973,ARC,لإبقاء السكان فى المنازل بسبب كورونا.. أشباح تتجول بشوارع قرية إندونيسية فيديوهات_انبلاج,لإبقاء السكان فى المنازل بسبب كورونا.. أشباح تتجول بشوارع قرية إندونيسية فيديوهات_انبلاج,إبقاء ساكن في منزل سبب كورونا . . شبح تجول شارع قرية إندونيسي فيديوه _ انبلاج,True
