,Unnamed: 0,origin,tweet_text,label
0,0,ARC,الكورونا الطريقة الصحيحة لاستخدام الكمامات لاحظت عامة الناس ماتعرفهاش مالفرق ان لبسناها ( الكمامة ) من الجهة البيضاء او الجهة الزرقاء ؟؟ الجهة البيضاء تكون مسؤولة عن الفلترة او التعقيم .. لذلك,False
1,1,MFH,كونا | إصابة أنثى نمر في حديقة حيوان بمدينة (نيويورك) بفيروس (كورونا). . السؤال هل فايرس كاورونا يصيب الحيوانات ؟,True
2,2,ARC,"في مشهد مهيب تقشعر له الأبدان. خرج العاملون في مستشفى شمال ويلز لتحية ووداع جثمان زميلهم الطبيب الليبي ""الصادق الهوش"" الذي وافته المنية يوم أمس الاثنين، بعد إصابته بفيروس كورونا المستجد أثناء تأديته لواجبه في انقاذ أرواح المرضى بالمستشفى. اللهم اغفر له وارحمه",True
3,3,4IF,بعد كسر حاجز 10000 أصابه نشطة في قطر ،، وزارة التعليم تخرق القوانين الدوليه وقانون الحريات وقانون منظمة الصحه العالميه وتجبر موظفينها بطريقة ملتويه على أخذ لقاح كوفيد_19 !! أين أنتم ياقانونيين ؟! كورونا,True
4,4,ARC,الواضح من الأرقام أن كورونا_الجديد COVID 19 يعرض المدخنين وكبار السن بأمراض مزمنة( ضغط سكر )وأمراض القلب والتنفس للخطر بشكل أكبر ونسبة احتياج للعناية المركزة في المستشفى بشكل أكبر,True
5,5,4IF,"بدأت إندونيسيا الثلاثاء اختبار لقاح صيني ضد فيروس كورونا المستجد طوره مختبر ""سينوفاك بيوتيك"" على 1600 متطوع. وسبق أن اختبر هذا اللقاح على 9 آلاف متطوع في البرازيل، وهي ثاني أكثر الدول تضررا في العالم من الفيروس بعد الولايات المتحدة. فرانس_برس (2-1)",True
6,6,ARC,منقولة هذا الريس يستحق الحب والاحترام رئيس كوريا الشمالية كيم يونغ يؤكد أن فيروس كورونا لن ينتشر في بلاده لأنه سيتم إعدام اي شخص يصاب به (صاحب الحلول السريعة ) محمد_علاوي_مرفوض,False
7,7,MFH,وزارة_الصحة_السعودية 11 ألف شخص غادروا الحجر الصحي بعد التأكد من خلوهم من فيروس_كورونا_المستجد,True
8,8,4IF,أستاذ المناعة وتطوير اللقاحات بمعهد إدوارد جينر أحمد سالمان: جرعة لقاح جونسون أند جونسون تعطي مناعة بنسبة 70% ضد كورونا.. والاختبارات الحالية حول الاستمرارية العربية,True
9,9,ARC,زعيم كوريا الشمالية يقول : ان فيروس كورونا لن ينتشر في بلاده لانه سوف يتم اعدام اي شخص يصاب بهذا المرض . صاحب الحلول السرعيه,False
10,10,ARC,التدخين وكورونا.. تحذير جديد من منظمة الصحة العالمية كورونا,True
11,11,ARC,شنو اللي قاعد يصير في الصين هجوم اسراب من الغربان والبعوض على الصين بطريقة عجيبه وغريبه يالله سترك يا رب العالمين كورونا_الصين,False
12,12,ARC,“الصحة السعودية”: لا خطورة من الطرود البريدية القادمة من الصين السعودية وزارة_الصحة الصين كورونا حماك,True
13,13,ARC,"صباحك صحة غير صحيح , بناء على المعلومات المتوفرة حاليا لايوجد خطر من إنتقال فيروس كورونا الجديد عبر البضائع والطرود المستوردة من الصين مع تمنياتنا للجميع بالصحة والعافية",True
14,14,4IF,رئيس الأكاديمية الطبية الدولية في موسكو أسعد مطر: روسيا لا تمانع في وصول لقاح كورونا إلى كل دول العالم.. والإنتاج سيوزع في الداخل أولا العربية,True
15,15,MFH,عاجل | الصحة الجزائرية تعلن تسجيل 8 حالات وفاة و171 إصابة جديدة بفيروس كورونا بارتفاع 15 إصابة عن حصيلة أمس وتعافي 118 الجزائر,True
16,16,4IF,عااجل غدا الاربعاء المصادف 2020-8-12 يتم أطلاق اول لقاح روسي للعالم ضد فيروس كورونا بوتين يعلن تسجيل أول لقاح ضد فيروس كورونا في العالم بوتين: اللقاح اجتاز كل الاختبارات بوتين: ابنتي ضمن من تم حقنهم باللقاح الجديد. يارب التراكمي_يعلن_الثوره,False
17,17,ARC,الاخبار_الحلوه خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا 100% اذا كان موجود في الرئتين أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .. ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق,False
18,18,ARC,الوضوء و النقاب للوقاية من كورونا,False
19,19,MFH,"رحم الله الدكتور طارق_حسين_مخيمر ""مصري"" الجنسية من أطباء الأنف والأذن والحنجرة والذي كان في الصفوف الامامية في مستشفى جابر متأثرا بمضاعفات فيروس كورونا المستجد ،، اللهم ارحمه واغفر له والهم اهله وذويه الصبر والسلوان.",True
20,20,ARC,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا 100% اذا كان موجود في الرئتين أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .. ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق والله يحفظ الجميع,False
21,21,ARC,هذه المرة لا يا أخي فيروس كورونا انتقل من اكل الحيوانات المحرمة في الصين كالفأران والأفاعي وغيرها نطلب من الله السلامة قلت سابقا انه من صنع الانسان لكن ذلك طبيعي,False
22,22,ARC,كورونا غدا الطريق لبدء تطبيق النظام العالمي الجديد لكي يتم زرع شريحة في جسم الانسان بحجت اللقاح لتحكم به ومعرفت بما يفكر كل انسان وتم زرع الشريحه في عشرة مليون انسان على مستوى العالم,False
23,23,ARC,"قررت الهيئة العامة للطيران المدني القطرية منع المسافرين الحاملين للجنسية المصرية ضمن تدابير الحكومة هناك لاحتواء فيروس ""كورونا المستجد""، بحسب بيان إعلامي للهيئة اليوم الأحد. وبحسب البيان، ينطبق قرار الهيئة على جميع المسافرين، السابق الإشارة لهم، حتى في حالة حملهم لإقامة سارية",False
24,24,4IF,الخليجيون في مرمى دراسات كورونا السريرية الصينيه. بعد الامارات، الصين تبدأ تجربة لقاح شركة سينوفارم ضد كوفيد19 في البحرين. اكيد شايفين شي عندهم مو شايفينه في الكويت!,False
25,25,4IF,”كورونا“ يسقط قطر من جديد في فخ ”إهانة“ العمالة الأجنبية (صور) إرم_نيوز الدوحة نطالب_بحظر_تجول_في_قطر,False
26,26,4IF,سويسرا تحجز ملايين الجرعات من لقاح ضد كورونا قيد التطوير للتفاصيل:  نتصدر_المشهد COVID19,True
27,27,MFH,الفرق بينك وبين الي عندو كورونا انه هو عمل فحص و انت لأ. الدعم_النفسي,False
28,28,MFH,وزيرة الهجرة تنفي وصول أي مركب من إيطاليا بصورة غير شرعية تنقل مصريين مصابين بفيروس كورونا,True
29,29,4IF,روسيا تحضر تشرنوبل جديده يتعدى الموضوع التسمية وما تحمله من بروبغندا الى اعلان روسيا ان لديها طلب لمليار جرعة! تخيل مليار شخص يحصلون على لقاح لم ينشر عنه بحث علمي! وتخيل كم من المليار شخص لو التقط العدوى سيكون افضل من الحصول على هذا اللقاح,False
30,30,ARC,العراق اهون الدول بالنسبه لكورونا لان فيروس ينشط بالاجواء البارده بينما يموت بالاجواء الحاره واتصور مراح يكون اله تداعيات مثل باقي الدول بسبب جو العراق الحار مع ذلك أخذو احتياطتكم الصحيه اهم شي النظافه معا_لعراق_بلا_كورونا,False
31,31,ARC,"ايطاليا تعلن استسلامها ورئيس وزرائها يقول: ""انتهت حلول الأرض، الأمر متروك للسماء"" فيارب السماء والارض ، لاتوآخذنا بما فعل السفهاء منا فنحن موقنين مؤمنين بقوتك وجبروتك في الأمس واليوم والغد . سبحانك ربي ما أعظمك كورونا",False
32,32,ARC,الامارات تقريبا اول دولة عربية اعلنت تسجيل حالات كورونا وفيها جنسيات عربية واجنية كتير جدا ومع ذلك مشفناش ولا واحد اماراتى بيشتم فى والوافدين او بيطلب بتريحلهم الحقيقة شعب زايد اثبت انه شعب محترم ومثقف,True
33,33,ARC,تنبأت رواية الكاتب الأمريكي دين كونتز المكتوبة في كتابه : عيون الظلام The Eyes of Darkness والمنشورة عام 1981 بانتشار فيروس كورونا التاجي عام 2020 فيروس_كورونا_المستجد كورونا الكويت,False
34,34,4IF,"السبلة_العمانية - روسيا تطلق على اللقاح اسم "" سبوتنيك "" وهو اسم وكالة أنباء عالمية تمتلكها روسيا فيروس_كورونا كوفيد_19",True
35,35,4IF,تطعيم 7 مليار بشر لان 0.011% منهم ماتوا والكثير بأرقام وهمية جميل جدا,False
36,36,ARC,انباء وتقارير صحفيه ايطاليه تتحدث عن اصابة باولو ديبالا نجم يوفينتوس بفايروس كورونا,False
37,37,4IF,بوتين يعلن اول لقاح ل كورونا في العالم!,True
38,38,ARC,صدام حسين يتكلم عن فيروس كورونا فيروس_كورونا,False
39,39,4IF,ترامب يخوض انتخابات قاسية، وخارج لقاح كورونا يبدو بعيد المنال، يستميت لإنجاز تفاهم بشروطه مع ايران يضرب فيه تفاهم اوباما-بايدن السابق، ويرى في العراق و لبنان وسيلة ضغط ناجعة لتحقيق ذلك وإنجاز ترسيم حدودي مع اسرائيل يضمن فيه المزيد من تأييد اللوبي اليهودي,False
40,40,MFH,عائلتي وأصدقائي الأعزاء، إذا قررتم زيارتي الرجاء التقيد بهذه التعليمات: 1- ما تجو. شكرا فيروس_كورونا كورونا_لبنان لا_داعي_للهلع سنموت_بعد_قليل لبنان_ينتفض لا_ثقة انتخابات_نيابية_مبكرة,False
41,41,MFH,لا بعدين ولا قبلين سنموت_بعد_قليل كورونا_لبنان الكورونا الكورونا_صابتنا من صفحة وفاء الراجح,False
42,42,4IF,عالم بريطاني: فيروس كورونا سيبقى معنا إلى الأبد و لقاحات متكررة قد تكون الحل,False
43,43,ARC,أشتهي أن يقوم مركز بحثي حول هذه الظاهرة، فلعل الوضوء خمس مرات في اليوم له دور إيجابي في ذلك ويخفف من انتشار كورونا.. أقول لعل، وهذا ما يؤكده إلا الدراسات المعمقة,False
44,44,ARC,أنباء مؤكدة إصابة تميم بن حمد أمير دويلة قطر الإرهابية بفيروس كورونا بعد استقباله مندوبة أمريكية حاملة للمرض قادمة من إيطاليا نسأل الله أن يهلك الظالمين بما ظلموا,False
45,45,MFH,انتقل الى رحمة الله مساء يوم السبت الموافق 7 نوفمبر 2020 احد ابناء منطقة النبي_شيت مركز مدينة الموصل بطل القادسية اللواء الركن الطيار (محمود جاسم الجبوري ابو صفوان)اثر اصابته بفايروس كورونا تغمده الله بواسع رحمته واسكنه فسيح جناته والهم اهله وذويه الصبر والسلوان0 احمد_عباس,True
46,46,ARC,الدون كريستيانو رونالدو يقرر تحويل جميع فنادقه إلى مستشفيات للحجر الصحى ويتكفل برواتب جميع العاملين فيها الله عليك ما أروعك الإنسانية لا دين ولا جنسية لها يا سادة الكورونا,False
47,47,ARC,الصين بدأت بإطلاق النار وقتل المصابين بفايروس كورونا للحد من انتشار الفايروس ،، وآخر شي يتغنون بحقوق الإنسان,False
48,48,ARC,يتداول مستخدمون لموقع فيسبوك مجموعة صور يدعون أنها لمسلمين يقيمون الصلاة في شوارع إيطاليا سائلين الله أن يحفظهم من فيروس كورونا المستجد هذه الصور قديمة ولا علاقة لها بالفيروس الجديد التفاصيل كاملة فرانس_برس,True
49,49,ARC,لبنان تعلن انتهاء العام الدراسي بسبب انتشار مرض كورونا:,False
50,50,MFH,في خبر مفرح .. متحدث وزارة_الصحة : 11 ألف شخص غادروا الحجر الصحي بعد التأكد من خلوهم من فيروس كورونا,True
51,51,ARC,يبدو أن هناك حالات تفشي بفيروس كورونا (كوفيد 19) في مصر تتكتم عنها السلطات المصرية فبعد أن أعلنت الكويت إجراءات مشددة على القادمين من مصر فقد أصدرت الهيئة العامة للطيران المدني في قطر قرارا بحظر وصول المواطنيين المصريين إلى قطر حتى من يحملون إقامات في قطر,False
52,52,4IF,أعلنت المفوضية الأوروبية،اليوم، أنها حجزت باسم الدول الأعضاء، 300 مليون جرعة من عقار ضد فيروس كورونا المستجد تعمل عليه المجموعة الفرنسية سانوفي . وقال البيان إن المفوضية تواصل “مناقشات مكثفة” مع مجموعات أخرى تعمل على إنتاج لقاح مماثل.,True
53,53,MFH,تعلن وزارة_الصحة عن وفاة مقيم مصاب بمرض كورونا كوفيد19 يبلغ من العمر ثلاثة وأربعين عاما ليبلغ عدد الوفيات من هذا المرض بالسلطنة ست عشرة وفاة. وتتقدم وزارة الصحة إلى ذوي الفقيد بخالص العزاء والمواساة سائلة الله سبحانه أن يلهم أهله وذويه الصبر والسلوان خليك_بالبيت,True
54,54,4IF,بعد أقل من 10 أيام من هذه التغريدة..ألقى اردوغان خطاب “صوتي” وهو مختبئ وناشد شعبه البقاء في منازلهم وتم الإعلان عن 21 وفاة بسبب كورونا ..هذا جزاء شماتتهم,False
55,55,ARC,فيدوا مسرب للرئيس صدام هددت امريكا الرئيس الراحل صدام_حسين بنشر فيروس كورونا في العراق الحرب البيولوجية قذره سواء استخدمها ترمب او بشار او اي مجرم من المجرمين البلدين المنتشر بهم المرض الصين و ايران و العلاج من امريكا,False
