,Unnamed: 0,origin,tweet_text,label,tweet_text_NER
0,0,ARC,الكورونا الطريقة الصحيحة لاستخدام الكمامات لاحظت عامة الناس ماتعرفهاش مالفرق ان لبسناها ( الكمامة ) من الجهة البيضاء او الجهة الزرقاء ؟؟ الجهة البيضاء تكون مسؤولة عن الفلترة او التعقيم .. لذلك,False,الكورونا الطريقة الصحيحة لاستخدام الكمامات لاحظت عامة الناس ماتعرفهاش مالفرق ان لبسناها ( الكمامة ) من الجهة البيضاء او الجهة الزرقاء ؟؟ الجهة البيضاء تكون مسؤولة عن الفلترة او التعقيم .. لذلك
1,1,MFH,كونا | إصابة أنثى نمر في حديقة حيوان بمدينة (نيويورك) بفيروس (كورونا). . السؤال هل فايرس كاورونا يصيب الحيوانات ؟,True, PER  | إصابة أنثى نمر في حديقة حيوان بمدينة ( LOC ) بفيروس (كورونا). . السؤال هل  PER  يصيب الحيوانات ؟
2,2,ARC,"في مشهد مهيب تقشعر له الأبدان. خرج العاملون في مستشفى شمال ويلز لتحية ووداع جثمان زميلهم الطبيب الليبي ""الصادق الهوش"" الذي وافته المنية يوم أمس الاثنين، بعد إصابته بفيروس كورونا المستجد أثناء تأديته لواجبه في انقاذ أرواح المرضى بالمستشفى. اللهم اغفر له وارحمه",True,"في مشهد مهيب تقشعر له الأبدان. خرج العاملون في مستشفى  LOC  لتحية ووداع جثمان زميلهم الطبيب الليبي "" PER "" الذي وافته المنية يوم أمس الاثنين، بعد إصابته بفيروس كورونا المستجد أثناء تأديته لواجبه في انقاذ أرواح المرضى بالمستشفى. اللهم اغفر له وارحمه"
3,3,4IF,بعد كسر حاجز 10000 أصابه نشطة في قطر ،، وزارة التعليم تخرق القوانين الدوليه وقانون الحريات وقانون منظمة الصحه العالميه وتجبر موظفينها بطريقة ملتويه على أخذ لقاح كوفيد_19 !! أين أنتم ياقانونيين ؟! كورونا,True,بعد كسر حاجز 10000 أصابه نشطة في  LOC  ،، وزارة التعليم تخرق القوانين الدوليه وقانون الحريات وقانون  ORG  وتجبر موظفينها بطريقة ملتويه على أخذ لقاح كوفيد_19 !! أين أنتم ياقانونيين ؟! كورونا
4,4,ARC,الواضح من الأرقام أن كورونا_الجديد COVID 19 يعرض المدخنين وكبار السن بأمراض مزمنة( ضغط سكر )وأمراض القلب والتنفس للخطر بشكل أكبر ونسبة احتياج للعناية المركزة في المستشفى بشكل أكبر,True,الواضح من الأرقام أن  MISC   MISC  يعرض المدخنين وكبار السن بأمراض مزمنة( ضغط سكر )وأمراض القلب والتنفس للخطر بشكل أكبر ونسبة احتياج للعناية المركزة في المستشفى بشكل أكبر
5,5,4IF,"بدأت إندونيسيا الثلاثاء اختبار لقاح صيني ضد فيروس كورونا المستجد طوره مختبر ""سينوفاك بيوتيك"" على 1600 متطوع. وسبق أن اختبر هذا اللقاح على 9 آلاف متطوع في البرازيل، وهي ثاني أكثر الدول تضررا في العالم من الفيروس بعد الولايات المتحدة. فرانس_برس (2-1)",True,"بدأت  LOC  الثلاثاء اختبار لقاح صيني ضد فيروس كورونا المستجد طوره مختبر "" ORG "" على 1600 متطوع. وسبق أن اختبر هذا اللقاح على 9 آلاف متطوع في  LOC ، وهي ثاني أكثر الدول تضررا في العالم من الفيروس بعد  LOC .  LOC  (2-1)"
6,6,ARC,منقولة هذا الريس يستحق الحب والاحترام رئيس كوريا الشمالية كيم يونغ يؤكد أن فيروس كورونا لن ينتشر في بلاده لأنه سيتم إعدام اي شخص يصاب به (صاحب الحلول السريعة ) محمد_علاوي_مرفوض,False,منقولة هذا الريس يستحق الحب والاحترام رئيس  LOC   PER  يؤكد أن فيروس كورونا لن ينتشر في بلاده لأنه سيتم إعدام اي شخص يصاب به (صاحب الحلول السريعة )  PER _مرفوض
7,7,MFH,وزارة_الصحة_السعودية 11 ألف شخص غادروا الحجر الصحي بعد التأكد من خلوهم من فيروس_كورونا_المستجد,True, ORG  LOC  11 ألف شخص غادروا الحجر الصحي بعد التأكد من خلوهم من فيروس_كورونا_المستجد
8,8,4IF,أستاذ المناعة وتطوير اللقاحات بمعهد إدوارد جينر أحمد سالمان: جرعة لقاح جونسون أند جونسون تعطي مناعة بنسبة 70% ضد كورونا.. والاختبارات الحالية حول الاستمرارية العربية,True,أستاذ المناعة وتطوير اللقاحات بمعهد  PER : جرعة لقاح  PER  تعطي مناعة بنسبة 70% ضد كورونا.. والاختبارات الحالية حول الاستمرارية العربية
9,9,ARC,زعيم كوريا الشمالية يقول : ان فيروس كورونا لن ينتشر في بلاده لانه سوف يتم اعدام اي شخص يصاب بهذا المرض . صاحب الحلول السرعيه,False,زعيم  LOC  يقول : ان فيروس كورونا لن ينتشر في بلاده لانه سوف يتم اعدام اي شخص يصاب بهذا المرض . صاحب الحلول السرعيه
10,10,ARC,التدخين وكورونا.. تحذير جديد من منظمة الصحة العالمية كورونا,True,التدخين وكورونا.. تحذير جديد من  ORG 
11,11,ARC,شنو اللي قاعد يصير في الصين هجوم اسراب من الغربان والبعوض على الصين بطريقة عجيبه وغريبه يالله سترك يا رب العالمين كورونا_الصين,False,شنو اللي قاعد يصير في  LOC  هجوم اسراب من الغربان والبعوض على  LOC  بطريقة عجيبه وغريبه يالله سترك يا رب العالمين كورونا_ LOC 
12,12,ARC,“الصحة السعودية”: لا خطورة من الطرود البريدية القادمة من الصين السعودية وزارة_الصحة الصين كورونا حماك,True,“الصحة  LOC ”: لا خطورة من الطرود البريدية القادمة من  LOC   LOC  وزارة_الصحة  LOC   LOC 
13,13,ARC,"صباحك صحة غير صحيح , بناء على المعلومات المتوفرة حاليا لايوجد خطر من إنتقال فيروس كورونا الجديد عبر البضائع والطرود المستوردة من الصين مع تمنياتنا للجميع بالصحة والعافية",True,"صباحك صحة غير صحيح , بناء على المعلومات المتوفرة حاليا لايوجد خطر من إنتقال فيروس كورونا الجديد عبر البضائع والطرود المستوردة من  LOC  مع تمنياتنا للجميع بالصحة والعافية"
14,14,4IF,رئيس الأكاديمية الطبية الدولية في موسكو أسعد مطر: روسيا لا تمانع في وصول لقاح كورونا إلى كل دول العالم.. والإنتاج سيوزع في الداخل أولا العربية,True,رئيس  ORG  في  LOC  أسعد مطر:  LOC  لا تمانع في وصول لقاح كورونا إلى كل دول العالم.. والإنتاج سيوزع في الداخل أولا العربية
15,15,MFH,عاجل | الصحة الجزائرية تعلن تسجيل 8 حالات وفاة و171 إصابة جديدة بفيروس كورونا بارتفاع 15 إصابة عن حصيلة أمس وتعافي 118 الجزائر,True,عاجل |  ORG  تعلن تسجيل 8 حالات وفاة و171 إصابة جديدة بفيروس كورونا بارتفاع 15 إصابة عن حصيلة أمس وتعافي 118  LOC 
16,16,4IF,عااجل غدا الاربعاء المصادف 2020-8-12 يتم أطلاق اول لقاح روسي للعالم ضد فيروس كورونا بوتين يعلن تسجيل أول لقاح ضد فيروس كورونا في العالم بوتين: اللقاح اجتاز كل الاختبارات بوتين: ابنتي ضمن من تم حقنهم باللقاح الجديد. يارب التراكمي_يعلن_الثوره,False,عااجل غدا الاربعاء المصادف 2020-8-12 يتم أطلاق اول لقاح روسي للعالم ضد  PER  يعلن تسجيل أول لقاح ضد فيروس كورونا في  LOC : اللقاح اجتاز كل الاختبارات بوتين: ابنتي ضمن من تم حقنهم باللقاح الجديد. يارب التراكمي_يعلن_الثوره
17,17,ARC,الاخبار_الحلوه خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا 100% اذا كان موجود في الرئتين أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .. ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق,False,الاخبار_الحلوه خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا 100% اذا كان موجود في الرئتين أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .. ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق
18,18,ARC,الوضوء و النقاب للوقاية من كورونا,False,الوضوء و النقاب للوقاية من كورونا
19,19,MFH,"رحم الله الدكتور طارق_حسين_مخيمر ""مصري"" الجنسية من أطباء الأنف والأذن والحنجرة والذي كان في الصفوف الامامية في مستشفى جابر متأثرا بمضاعفات فيروس كورونا المستجد ،، اللهم ارحمه واغفر له والهم اهله وذويه الصبر والسلوان.",True,"رحم الله الدكتور  PER  ""مصري"" الجنسية من أطباء الأنف والأذن والحنجرة والذي كان في الصفوف الامامية في  LOC  متأثرا بمضاعفات فيروس كورونا المستجد ،، اللهم ارحمه واغفر له والهم اهله وذويه الصبر والسلوان."
20,20,ARC,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا 100% اذا كان موجود في الرئتين أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .. ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق والله يحفظ الجميع,False,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا 100% اذا كان موجود في الرئتين أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .. ارجو نشر هذه المعلومه في صفحتكم وعلى أوسع نطاق والله يحفظ الجميع
21,21,ARC,هذه المرة لا يا أخي فيروس كورونا انتقل من اكل الحيوانات المحرمة في الصين كالفأران والأفاعي وغيرها نطلب من الله السلامة قلت سابقا انه من صنع الانسان لكن ذلك طبيعي,False,هذه المرة لا يا أخي فيروس كورونا انتقل من اكل الحيوانات المحرمة في  LOC  كالفأران والأفاعي وغيرها نطلب من الله السلامة قلت سابقا انه من صنع الانسان لكن ذلك طبيعي
22,22,ARC,كورونا غدا الطريق لبدء تطبيق النظام العالمي الجديد لكي يتم زرع شريحة في جسم الانسان بحجت اللقاح لتحكم به ومعرفت بما يفكر كل انسان وتم زرع الشريحه في عشرة مليون انسان على مستوى العالم,False,كورونا غدا الطريق لبدء تطبيق النظام العالمي الجديد لكي يتم زرع شريحة في جسم الانسان بحجت اللقاح لتحكم به ومعرفت بما يفكر كل انسان وتم زرع الشريحه في عشرة مليون انسان على مستوى العالم
