,origin,tweet_text,tweet_text_NER,tweet_text_NER_STEM,label
0,ARC,الكورونا الطريقة الصحيحة لاستخدام الكمامات لاحظت عامة الناس ماتعرفهاش مالفرق ان لبسناها ( الكمامة ) من الجهة البيضاء او الجهة الزرقاء ؟؟ الجهة البيضاء تكون مسؤولة عن الفلترة او التعقيم .. لذلك,الكورونا الطريقة الصحيحة لاستخدام الكمامات لاحظت عامة الناس ماتعرفهاش مالفرق ان لبسناها ( الكمامة ) من الجهة البيضاء او الجهة الزرقاء ؟؟ الجهة البيضاء تكون مسؤولة عن الفلترة او التعقيم .. لذلك,كورونا طريقة صحيح استخدام كمام لاحظ عام ناس ماتعرفهاش مالفرق ان لبس ( كمام ) من جهة أبيض أو جهة أزرق ؟ ؟ جهة أبيض كان مسؤول عن فلتر أو تعقيم . . ذلك,False
1,MFH,كونا | إصابة أنثى نمر في حديقة حيوان بمدينة (نيويورك) بفيروس (كورونا). . السؤال هل فايرس كاورونا يصيب الحيوانات ؟, PER  | إصابة أنثى نمر في حديقة حيوان بمدينة ( LOC ) بفيروس (كورونا). . السؤال هل  PER  يصيب الحيوانات ؟,PER | إصابة أنثى مر في حديقة حيوان مدينة ( LOC ) فيروس ( كورونا ) . . سؤال هل PER أصاب حيوان ؟,True
2,ARC,"في مشهد مهيب تقشعر له الأبدان. خرج العاملون في مستشفى شمال ويلز لتحية ووداع جثمان زميلهم الطبيب الليبي ""الصادق الهوش"" الذي وافته المنية يوم أمس الاثنين، بعد إصابته بفيروس كورونا المستجد أثناء تأديته لواجبه في انقاذ أرواح المرضى بالمستشفى. اللهم اغفر له وارحمه","في مشهد مهيب تقشعر له الأبدان. خرج العاملون في مستشفى  LOC  لتحية ووداع جثمان زميلهم الطبيب الليبي "" PER "" الذي وافته المنية يوم أمس الاثنين، بعد إصابته بفيروس كورونا المستجد أثناء تأديته لواجبه في انقاذ أرواح المرضى بالمستشفى. اللهم اغفر له وارحمه","في مشهد مهيب تقشعر ل بدن . خرج عامل في مستشفى LOC تحية وداع جثمان زميل طبيب ليبي "" PER "" الذي افت منية يوم أمس اثنين ، بعد إصابة فيروس كورونا مستجد ثني تأدية واجب في إنقاذ روح مريض مستشفى . اللهم اغفر ل ارحم",True
3,4IF,بعد كسر حاجز 10000 أصابه نشطة في قطر ،، وزارة التعليم تخرق القوانين الدوليه وقانون الحريات وقانون منظمة الصحه العالميه وتجبر موظفينها بطريقة ملتويه على أخذ لقاح كوفيد_19 !! أين أنتم ياقانونيين ؟! كورونا,بعد كسر حاجز 10000 أصابه نشطة في  LOC  ،، وزارة التعليم تخرق القوانين الدوليه وقانون الحريات وقانون  ORG  وتجبر موظفينها بطريقة ملتويه على أخذ لقاح كوفيد_19 !! أين أنتم ياقانونيين ؟! كورونا,بعد كسر حاجز 10000 أصاب نشط في LOC ، ، وزارة تعليم خرق قانون دوليه قانون حرية قانون ORG أجبر موظف طريقة ملتوي على أخذ لقاح كوفيد _ 19 ! ! أين أنتم ياقانونيين ؟ ! كورونا,True
4,ARC,الواضح من الأرقام أن كورونا_الجديد COVID 19 يعرض المدخنين وكبار السن بأمراض مزمنة( ضغط سكر )وأمراض القلب والتنفس للخطر بشكل أكبر ونسبة احتياج للعناية المركزة في المستشفى بشكل أكبر,الواضح من الأرقام أن  MISC   MISC  يعرض المدخنين وكبار السن بأمراض مزمنة( ضغط سكر )وأمراض القلب والتنفس للخطر بشكل أكبر ونسبة احتياج للعناية المركزة في المستشفى بشكل أكبر,واضح من رقم أن MISC MISC عرض مدخن كبير سن مرض مزمن ( ضغط سكر ) مرض قلب تنفس خطر شكل أكبر نسبة احتياج عناية مركز في مستشفى شكل أكبر,True
5,4IF,"بدأت إندونيسيا الثلاثاء اختبار لقاح صيني ضد فيروس كورونا المستجد طوره مختبر ""سينوفاك بيوتيك"" على 1600 متطوع. وسبق أن اختبر هذا اللقاح على 9 آلاف متطوع في البرازيل، وهي ثاني أكثر الدول تضررا في العالم من الفيروس بعد الولايات المتحدة. فرانس_برس (2-1)","بدأت  LOC  الثلاثاء اختبار لقاح صيني ضد فيروس كورونا المستجد طوره مختبر "" ORG "" على 1600 متطوع. وسبق أن اختبر هذا اللقاح على 9 آلاف متطوع في  LOC ، وهي ثاني أكثر الدول تضررا في العالم من الفيروس بعد  LOC .  LOC  (2-1)","بدأ LOC ثلاثاء اختبار لقاح صيني ضد فيروس كورونا مستجد طور مختبر "" ORG "" على 1600 متطوع . سبق أن اختبر هذا لقاح على 9 ألف متطوع في LOC ، هي ثاني أكثر دولة تضرر في عالم من فيروس بعد LOC . LOC ( 2-1 )",True
6,ARC,منقولة هذا الريس يستحق الحب والاحترام رئيس كوريا الشمالية كيم يونغ يؤكد أن فيروس كورونا لن ينتشر في بلاده لأنه سيتم إعدام اي شخص يصاب به (صاحب الحلول السريعة ) محمد_علاوي_مرفوض,منقولة هذا الريس يستحق الحب والاحترام رئيس  LOC   PER  يؤكد أن فيروس كورونا لن ينتشر في بلاده لأنه سيتم إعدام اي شخص يصاب به (صاحب الحلول السريعة )  PER _مرفوض,منقول هذا ريس استحق حب احترام رئيس LOC PER أكد أن فيروس كورونا لن انتشر في بلد أن تم إعدام اي شخص أصاب ب ( صاحب حل سريع ) PER _ مرفوض,False
7,MFH,وزارة_الصحة_السعودية 11 ألف شخص غادروا الحجر الصحي بعد التأكد من خلوهم من فيروس_كورونا_المستجد, ORG  LOC  11 ألف شخص غادروا الحجر الصحي بعد التأكد من خلوهم من فيروس_كورونا_المستجد,ORG LOC 11 ألف شخص غادر حجر صحي بعد تأكد من خلو من فيروس _ كورونا _ مستجد,True
8,4IF,أستاذ المناعة وتطوير اللقاحات بمعهد إدوارد جينر أحمد سالمان: جرعة لقاح جونسون أند جونسون تعطي مناعة بنسبة 70% ضد كورونا.. والاختبارات الحالية حول الاستمرارية العربية,أستاذ المناعة وتطوير اللقاحات بمعهد  PER : جرعة لقاح  PER  تعطي مناعة بنسبة 70% ضد كورونا.. والاختبارات الحالية حول الاستمرارية العربية,أستاذ مناعة تطوير لقاح معهد PER : جرعة لقاح PER أعطى مناعة نسبة 70% ضد كورونا . . اختبار حالي حول استمرارية عربي,True
9,ARC,زعيم كوريا الشمالية يقول : ان فيروس كورونا لن ينتشر في بلاده لانه سوف يتم اعدام اي شخص يصاب بهذا المرض . صاحب الحلول السرعيه,زعيم  LOC  يقول : ان فيروس كورونا لن ينتشر في بلاده لانه سوف يتم اعدام اي شخص يصاب بهذا المرض . صاحب الحلول السرعيه,زعيم LOC قال : ان فيروس كورونا لن انتشر في بلد لان سوف تم إعدام اي شخص أصاب هذا مرض . صاحب حل سرعيه,False
