,origin,tweet_text,label
3197,ARC,"الفيديو المتداول بعنوان « دخول 20 مليون صيني في الإسلام بعد أن ثبت ان وباءكورونا لايصيب المسلمين » غير صحيح , والحقيقة أن الخبرلم تعلنه أي قناة وإصابات فيروس كورونا موجودةايضا في مناطق وجود المسلمين فالفيروس لايفرق في إصابته بين الديانات , والفيديو في الرسالة متداول قبل إنتشارالفيروس",True
2526,ARC,النقاب . . احدى وسائل الوقاية من فيروس كورونا . . . . سيندمون من سعوا لمنعه في دولهم 😷 😷,False
4099,ARC,[مستخدم] من الخطأ التشائم . وما اصاب الناس هو من عند انفسهم . الصين جنت على العالم بأكل مالايصح اكله ولا يناسب الجسم البشري فمصدر كورونا هو سوق الاسماك والزواحف والحشرات والخفافيش بووهان,False
1926,ARC,# عليكم _ ببول _ الابل مهدي سبيلي ، مدير الجمعية العلمية لطب الإمام الصادق ، في ايران ينصح أبناء جلدته بشرب وزر الإبل كعلاج في مواجهة # فيروس _ كورونا سبحان الله طول عمرهم يصفون العرب بأكلة الجراد وشاربي بول الإبل ولكن بفضل # كورونا اصبحوا يتمنون بول الإبل . حماقات # الشعوبية,False
1536,4IF,وزير الصحة الروسي : أبشروا بنهاية COVID - 19 وزير الصحة الروسي : رسميا اللقاح الروسي ضد هذا الوباء ناجح 100 % بوتين : سيستفيد حلفاؤنا من اللقاح قبل 10 أوت كل من الصين و الجزائر و كوبا بوتين : سنسوق المصل نهاية أوت لباقي العالم المصدر : CNN الأمريكية ان شاء الله منكونوش حقل تجارب,False
1330,ARC,قام لاعب كرة القدم البرتغالي كريستيانو رونالدو بتحويل مجموعة فنادقه التي يمتلكها في البرتغال إلى مستشفيات ، ضمن الجهود المبذولة لمكافحة انتشار فيروس كورونا الجديد . [مستخدم] # كورونا _ الجديد # كريستيانو _ رونالدو,False
2372,MFH,عاجل : مغادرة 39 مواطنا من أحد مراكز الحجر الصحي في السليمانية بعد تأكيد الفحوصات الطبية خلوهم من فيروس كورونا [رابط] [رابط],True
4477,ARC,""" عاجل . . كارثة تحل على الإمارات : بعد نواياها بنقل كورونا إلى اليمن . . إصابة محمد بن زايد بكورونا وقرار عاجل بتأجيل أكسبو دبي 2020 م "" # almashadel yamani # feedly",False
2706,4IF,"منذ لحظة إعلان # بوتين عن جاهزيته . . جدل يثار حول لقاح "" سبوتنيك "" الروسي . . وخبراء ودول أوروبية تشكك بفعاليته وبالمعلومات المتوافرة عنه # كورونا # العربية [رابط]",False
3545,ARC,😱 😱 شركة ألبان المراعي السعودية بعد تقارير عن وجود إصابات بفيروس كورونا المستجد جرى التعتيم عليها . # قاطعوا _ المنتوجات _ السعودية # قاطعوا _ المنتوجات _ السعودية,False
3688,ARC,مصادر إعلامية : إصابة ولي عهد أبوظبي محمد بن زايد ، بفايروس كورونا المستجد المصدر : السومرية نيوز # كورونا _ يصل _ الامارات,False
3575,ARC,# الحراك _ مستمر # ريح _ في _ دارك # فيروس _ كورونا # البليده 🌹 جزء من الجزائر . الجزائر كالجسم الواحد اذا اشتكى منها عضو تداعى له سائر الجسد بالسهر والحمى . قلوبنا مع أهلنا في مدينة الورود ( البليدة ) التي دخلت الحجر المنزلي الكلي لمدة 10 أيام . . ربي يشفي المرضى ، ويرفع عنا هذا الوباء 🙏 💔,True
3154,4IF,"# سيف _ بن _ زايد : في سبيل الإنسانية 15 ألف متطوع من 107 جنسيات تعيش في دولة # الإمارات من مواطنين ومقيمين يشاركون في تجارب لقاح "" كوفيد 19 "" غير النشط # نتصدر _ المشهد # نلتزم _ لننتصر # COVID19 # CommitToWin [رابط]",True
842,MFH,توسيع اجراءات الحجر الجزئي إلى الولايات التالية : باتنة ، تيزي وزو ، سطيف ، قسنطينة ، المدية ، وهران ، بومرداس ، الوادي و تيبازة . # كورونا _ فيروس # CONFINEMENTJOUR10 # الحجر _ الصحي _ المنزلي,True
1539,4IF,إنفاذا للإجراءات الاحترازية المعمول بها في البلاد منعا لانتشار فيروس كورونا ( كوفيد - 19 ) ، الجهات المختصة تضبط 10 أشخاص خالفوا اشتراطات العزل الصحي المنزلي وفقا لتعهد التزموا من خلاله بتطبيق تلك الاشتراطات المحددة ، حيث أفادت وزارة الصحة العامة بأنه جار إحالتهم للنيابة المختصة . # قنا,True
472,ARC,خذ العلم : جميع الأعمار يمكن أن يصيبها # فيروس _ كورونا ! لكن كبار السن وأصحاب الأمراض المزمنة والحوامل هم أكثر عرضه للإصابة . - # وزارة _ الصحة,True
2748,MFH,"عاجل 🚨 - منظمة الصحة العالمية : الاعتقاد بأن فيروس كورونا سيختفي بحلول الصيف "" أمل زائف "" ( BBC ) # أعز _ الرجال _ وأنقاهم # ملاذ",True
1800,ARC,زيارة الرئيس الصيني احد المساجد ويطلب من المسلمين الدعاء إلى الله # كورونا _ الصين,False
491,ARC,لون الكمامة الطبية الأبيض و الأزرق يختلف فالجهة البيضاء مسؤولة عن التعقيم فإن كنت مصاب وأردت أن تحمي الناس من حولك يجب أن تضع الجهة البيضاء إلى الداخل أما الجهة الزرقاء فهي لتجنب العدوى وحماية نفسك من الاخرين فتكون الجهة البيضاء إلى الخارج # فيروس _ كورونا [مستخدم] [مستخدم],False
4693,4IF,عاجل 🔴 . . وزارة الصحة تعلن رسميا : العمل يجري حاليا لتهيئة وإجراء الاستعدادات للبدء في تجربة اللقاح الصيني الجديد ضد فيروس كورونا في ثلاث مدن رئيسة هي الرياض والدمام و مكة المكرمة . . . السعودية,True
2915,4IF,# اعلان _ بوتين _ روسيا عن لقاح ضد # كورونا دليل فشل ترامب وامريكا وسياساتهم وخبراتهم وتطورهم وهذا سوف يسبب انهيار حتمي لامريكا وترامب على المستوى العالمي الصحي والاقتصادي,False
2591,4IF,الصحة الروسية : العاملون في القطاع الصحي أول من سيحصل على اللقاح [رابط] # COVID19 # coronavirus [رابط],True
8,4IF,أستاذ المناعة وتطوير اللقاحات بمعهد إدوارد جينر أحمد سالمان : جرعة لقاح جونسون أند جونسون تعطي مناعة بنسبة 70 % ضد # كورونا . . والاختبارات الحالية حول الاستمرارية # العربية [رابط],True
4096,4IF,عاجل مسؤولين في منظمة الصحة العالمية ارسلوا تحذير لنظام قطر بعد ان رفضت وزارة الصحة بالدوحة تجهيز مستشفى للعمالة المصابة ( آسيوية وأفريقية ) ب # كورونا وأمر USERID الأمر اعلاميا ( غدا ) ووصل عدد المصابين لأكثر من 862 # حظر _ تجول _ اجباري _ ينقذنا # تكفون _ اقعدوا _ في _ بيوتكم # امجد _ طه,False
3933,ARC,خبير صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس كورونا 100 % اذا كان موجود في الرئتين أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة . . ارجو نشر هذه المعلومه,False
3758,4IF,بعد الإعلان الروسي . . فرنسا تقول إنها تنتظر المختبرات الكبرى للحصول على لقاح كورونا # فرنسا # لقاح # كورونا # روسيا [رابط],True
